OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 12, 32, 24, 646180)), ('pm1_cf', 0), ('pm25_cf', 1), ('pm10_cf', 1), ('pm1', 0), ('pm25', 1), ('pm10', 1)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 12, 37, 25, 697859)), ('pm1_cf', 2), ('pm25_cf', 3), ('pm10_cf', 3), ('pm1', 2), ('pm25', 3), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 12, 42, 26, 798040)), ('pm1_cf', 3), ('pm25_cf', 3), ('pm10_cf', 3), ('pm1', 3), ('pm25', 3), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 12, 47, 27, 887509)), ('pm1_cf', 2), ('pm25_cf', 3), ('pm10_cf', 3), ('pm1', 2), ('pm25', 3), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 12, 52, 28, 977233)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 2), ('pm1', 1), ('pm25', 2), ('pm10', 2)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 12, 57, 30, 106140)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 2), ('pm1', 1), ('pm25', 2), ('pm10', 2)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 2, 31, 195562)), ('pm1_cf', 2), ('pm25_cf', 3), ('pm10_cf', 3), ('pm1', 2), ('pm25', 3), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 7, 32, 323179)), ('pm1_cf', 1), ('pm25_cf', 2), ('pm10_cf', 3), ('pm1', 1), ('pm25', 2), ('pm10', 3)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 12, 33, 430913)), ('pm1_cf', 0), ('pm25_cf', 0), ('pm10_cf', 0), ('pm1', 0), ('pm25', 0), ('pm10', 0)])
OrderedDict([('DateTime', datetime.datetime(2020, 10, 31, 13, 17, 34, 503498)), ('pm1_cf', 1), ('pm25_cf', 3), ('pm10_cf', 4), ('pm1', 1), ('pm25', 3), ('pm10', 4)])
